Ensembl	Name	AltNames	Biotype	GeneLength	SumExonLength	Chr
FBgn0030838	CG5445	CG5445-RA	protein_coding	22980	2416	X
FBgn0030839	CG5613	CG5613-RA	protein_coding	5145	2235	X
FBgn0030840	p-cup	p-cup-RA,CG12993	protein_coding	2425	1875	X
FBgn0030841	CG8568	CG8568-RA	protein_coding	3554	2647	X
FBgn0030842	CG8557	CG8557-RB	protein_coding	50473	7511	X
FBgn0030843	CG12432	CG12432-RA	protein_coding	1791	1734	X
FBgn0030844	ppk23	ppk23-RB	protein_coding	2677	2209	X
FBgn0030846	CG12992	CG12992-RB	protein_coding	2842	1875	X
FBgn0030847	CG12991	CG12991-RA	protein_coding	19454	2872	X
FBgn0030850	stas	CG8408-RB,CG8408	protein_coding	4675	3148	X
FBgn0030851	CG8326	CG8326-RA	protein_coding	1329	1260	X
FBgn0030852	CG8316	CG8316-RA	protein_coding	2257	1984	X
FBgn0030853	CG5703	CG5703-RA	protein_coding	1421	1064	X
FBgn0030854	CG8289	CG8289-RA	protein_coding	2354	1770	X
FBgn0030855	CG5800	CG5800-RA	protein_coding	2723	2647	X
FBgn0030858	IntS2	CG8211,CG8211-RA	protein_coding	4058	3668	X
FBgn0030859	CG12990	CG12990-RA	protein_coding	2681	2330	X
FBgn0030863	CG8188	CG8188-RA	protein_coding	4108	3544	X
FBgn0030864	CG8173	CG8173-RA	protein_coding	2253	1643	X
FBgn0030866	CG15816		protein_coding	1824	1824	X
FBgn0030868	CG12986	CG12986-RA	protein_coding	531	531	X
FBgn0030869	Socs16D	Socs16D-RA	protein_coding	6801	4906	X
FBgn0030870	CG6398	CG6398-RA	protein_coding	10878	1972	X
FBgn0030871	CG8142	CG8142-RA	protein_coding	1362	1224	X
FBgn0030872	Ucp4A	Ucp4A-RA	protein_coding	3275	2082	X
FBgn0030873	CG15814	CG15814-RC	protein_coding	2233	1922	X
FBgn0030874	CG6506	CG6506-RA	protein_coding	1430	1309	X
FBgn0030876	CG6762	CG6762-RA	protein_coding	1637	1140	X
FBgn0030877	Arp8	Arp8-RA	protein_coding	2422	2289	X
FBgn0030878	CG6769	CG6769-RA	protein_coding	1774	1543	X
FBgn0030879	CG7835		protein_coding	653	653	X
FBgn0030880	CG6788	CG6788-RA	protein_coding	1228	1150	X
FBgn0030881	CG12985	CG12985-RA	protein_coding	1521	1357	X
FBgn0030882	GS	GS-RJ	protein_coding	9057	2838	X
FBgn0030883	CG7772	CG7772-RA	protein_coding	1231	843	X
FBgn0030884	CG6847	CG6847-RA	protein_coding	12702	4182	X
FBgn0030886	CG12672	CG12672-RA	protein_coding	1710	1710	X
FBgn0030887	CG6867	CG6867-RA	protein_coding	4392	3196	X
FBgn0030889	CG15373	CG15373-RA	protein_coding	4650	3573	X
FBgn0030890	CG7536	CG7536-RA	protein_coding	10042	4131	X
FBgn0030891	dik	dik-RA	protein_coding	2658	2658	X
FBgn0030892	CG7206	CG7206-RB	protein_coding	1785	1643	X
FBgn0030893	RhoGAP16F	RhoGAP16F-RB	protein_coding	4269	3324	X
FBgn0030894	CG7192	CG7192-RB	protein_coding	3757	2347	X
FBgn0030895	CG7135	CG7135-RA	protein_coding	1741	1518	X
FBgn0030897	Frq1	Frq1-RB	protein_coding	19376	5732	X
FBgn0030898	Andorra	Andorra-RA	protein_coding	947	947	X
FBgn0030899	Her	Her-RA	protein_coding	742	614	X
FBgn0030900	Him	Him-RA	protein_coding	1315	920	X
FBgn0030904	upd2	upd2-RB	protein_coding	2631	1980	X
FBgn0030905	CG15059	CG15059-RB	protein_coding	967	904	X
FBgn0030908	CG15057	CG15057-RA	protein_coding	261	261	X
FBgn0030911	CR15061		lincRNA	680	680	X
FBgn0030912	CG6023	CG6023-RA	protein_coding	7070	1745	X
FBgn0030913	CG6123	CG6123-RA	protein_coding	33234	6236	X
FBgn0030914	CG6106	CG6106-RA	protein_coding	3647	2446	X
FBgn0030915	CG6179	CG6179-RA	protein_coding	1398	1276	X
FBgn0030918	CG15056	CG15056-RA	protein_coding	1497	1424	X
FBgn0030919	CG15055		protein_coding	1573	612	X
FBgn0030921	CG6290	CG6290-RA	protein_coding	744	744	X
FBgn0030925	Hayan	CG6361-RA,CG6361	protein_coding	3790	2408	X
FBgn0030926	psh	psh-RA	protein_coding	2435	1645	X
FBgn0030927	CG15046	CG15046-RA	protein_coding	2171	1817	X
FBgn0030928	CG15044	CG15044-RA	protein_coding	822	822	X
FBgn0030929	CG15043	CG15043-RA	protein_coding	976	903	X
FBgn0030930	GalNAc-T2	GalNAc-T2-RA	protein_coding	4920	3668	X
FBgn0030931	Rad51D	Rad51D-RA	protein_coding	1132	1132	X
FBgn0030932	Ggt-1	CG6461-RA,CG6461	protein_coding	6639	2396	X
FBgn0030933	CG6470	CG6470-RA	protein_coding	2039	1532	X
FBgn0030935	CG15048	CG15048-RB	protein_coding	5863	758	X
FBgn0030936	CG6481	CG6481-RA	protein_coding	1372	1372	X
FBgn0030937	CG15042	CG15042-RA	protein_coding	1405	1405	X
FBgn0030938	CG15047	CG15047-RA	protein_coding	911	911	X
FBgn0030940	CG15040	CG15040-RA	protein_coding	10980	6138	X
FBgn0030941	wgn	wgn-RA	protein_coding	10867	2594	X
FBgn0030943	CG6540	CG6540-RA	protein_coding	1308	1249	X
FBgn0030944	CG6617	CG6617-RA	protein_coding	1049	989	X
FBgn0030945	Ing3	Ing3-RA	protein_coding	2374	2298	X
FBgn0030946	CG6659	CG6659-RA	protein_coding	3895	3478	X
FBgn0030947	CG6696	CG6696-RA	protein_coding	1682	997	X
FBgn0030949	Cyp308a1	Cyp308a1-RA	protein_coding	1774	1596	X
FBgn0030950	CCKLR-17D1		protein_coding	17909	2373	X
FBgn0030951	CG6873	CG6873-RA	protein_coding	680	680	X
FBgn0030952	CG12609	CG12609-RB	protein_coding	1940	1883	X
FBgn0030954	CCKLR-17D3	CCKLR-17D3-RB	protein_coding	9545	2230	X
FBgn0030955	CG6891	CG6891-RB	protein_coding	6118	1565	X
FBgn0030956	CG18259	CG18259-RA	protein_coding	2230	2055	X
FBgn0030958	CR6900	CG6900,CG6900-RB	pseudogene	406	333	X
FBgn0030959	CG6961	CG6961-RA	protein_coding	2069	1894	X
FBgn0030960	Atg101	CG7053,CG7053-RA	protein_coding	1850	1850	X
FBgn0030961	CG7058	CG7058-RB	protein_coding	5309	4548	X
FBgn0030962	CG7095		protein_coding	2425	2169	X
FBgn0030963	CG7101	CG7101-RA	protein_coding	1533	1454	X
FBgn0030964	Pvf1	Pvf1-RB	protein_coding	10220	2783	X
FBgn0030966	CG7280	CG7280-RA	protein_coding	2178	2115	X
FBgn0030968	CG7322	CG7322-RA	protein_coding	1885	1250	X
FBgn0030969	CG7288	CG7288-RA	protein_coding	1870	1695	X
FBgn0030970	CG7326	CG7326-RA	protein_coding	2580	2580	X
FBgn0030973	CG7332	CG7332-RA	protein_coding	4348	3401	X
FBgn0030974	CG7358	CG7358-RA	protein_coding	4659	4147	X
FBgn0030975	CG7349	CG7349-RA	protein_coding	2136	1949	X
FBgn0030976	CG7378	CG7378-RB	protein_coding	11434	3832	X
FBgn0030979	CG14190	CG14190-RA	protein_coding	10882	2489	X
FBgn0030980	CG7406	CG7406-RA	protein_coding	873	812	X
FBgn0030981	CG14191	CG14191-RA	protein_coding	902	787	X
FBgn0030982	CG7423	CG7423-RA	protein_coding	682	682	X
FBgn0030983	CG15882	CG15882-RA	protein_coding	634	634	X
FBgn0030984	tgy	tgy-RC	protein_coding	2314	1590	X
FBgn0030985	Obp18a	Obp18a-RA	protein_coding	788	734	X
FBgn0030986	RhoGAP18B		protein_coding	21879	2192	X
FBgn0030987	CG7502		protein_coding	4260	3192	X
FBgn0030989	Inx5	inx5-RB	protein_coding	2107	1814	X
FBgn0030990	CG7556	CG7556-RA	protein_coding	3722	2893	X
FBgn0030991	CG7453	CG7453-RA	protein_coding	1852	1852	X
FBgn0030992	CG33253	CG33253-RA	protein_coding	3858	2715	X
FBgn0030993	Mec2	Mec2-RA	protein_coding	2159	1238	X
FBgn0030994	HP1D3csd	CG14193,CG14193-RA	protein_coding	816	816	X
FBgn0030995	CG7914	CG7914-RA	protein_coding	1230	1230	X
FBgn0030996	CG14194	CG14194-RA	protein_coding	2483	1940	X
FBgn0030997	CG7990	CG7990-RA	protein_coding	5922	3583	X
FBgn0030998	CG14195	CG14195-RA	protein_coding	3389	2696	X
FBgn0030999	Mur18B	CG7874,Mur18B-RA	protein_coding	1685	1615	X
FBgn0031000	Muc18B	CG7876,Muc18B-RA	protein_coding	1146	1146	X
FBgn0031001	CG7884	CG7884-RA	protein_coding	15289	3960	X
FBgn0031002	CG14196	CG14196-RA	protein_coding	5782	2455	X
FBgn0031003	CG7889	CG7889-RA	protein_coding	1594	1468	X
FBgn0031004	CG7992	CG7992-RA	protein_coding	2093	1693	X
FBgn0031005	Hs3st-B	Hs3st-B-RA	protein_coding	3407	2441	X
FBgn0031006	rictor	rictor-RA	protein_coding	9130	6739	X
FBgn0031008	CG8010	CG8010-RA	protein_coding	2241	1633	X
FBgn0031010	CG8028	CG8028-RB	protein_coding	3174	2031	X
FBgn0031011	CG8034	CG8034-RA	protein_coding	16931	4405	X
FBgn0031012	CG8051	CG8051-RA	protein_coding	6596	2565	X
FBgn0031016	kek5	kek5-RB	protein_coding	118734	6417	X
FBgn0031018	CG12200	CG12200-RA	protein_coding	993	993	X
FBgn0031020	Nat1	Nat1-RA	protein_coding	4660	4013	X
FBgn0031021	CG12203	CG12203-RA	protein_coding	917	768	X
FBgn0031022	CG12204	CG12204-RA	protein_coding	1110	1110	X
FBgn0031023	CG14200	CG14200-RA	protein_coding	22898	8141	X
FBgn0031026	CG12231	CG12231-RA	protein_coding	711	711	X
FBgn0031030	Tao	Tao-1,Tao-1-RB	protein_coding	10080	7414	X
FBgn0031031	CG14218	CG14218-RA	protein_coding	1632	1571	X
FBgn0031032	CG14204	CG14204-RA	protein_coding	3441	2768	X
FBgn0031033	CG14219	CG14219-RA	protein_coding	2823	2308	X
FBgn0031034	CG14205	CG14205-RA	protein_coding	2940	2338	X
FBgn0031035	RpS10b	RpS10b-RB	protein_coding	1048	750	X
FBgn0031036	CG14220	CG14220-RA	protein_coding	2049	1817	X
FBgn0031037	CG14207	CG14207-RB	protein_coding	6215	1524	X
FBgn0031038	Tyler	Tyler-RB	protein_coding	4092	3334	X
FBgn0031039	Shawn	Shawn-RB	protein_coding	4092	3334	X
FBgn0031040	CG14210	CG14210-RA	protein_coding	630	567	X
FBgn0031041	CG12788	CG12788-RA	protein_coding	1875	1754	X
FBgn0031042	CG14221	CG14221-RB	protein_coding	2427	2068	X
FBgn0031043	NAA20	CG14222-RA,CG14222	protein_coding	1624	1256	X
FBgn0031044	MKP-4	MKP-4-RB,CG14211	protein_coding	2616	2358	X
FBgn0031045	CG14212	CG14212-RA	protein_coding	897	897	X
FBgn0031047	Rcd-1	CG14213,CG14213-RB	protein_coding	1980	1734	X
FBgn0031048	CG12237	CG12237-RA	protein_coding	1679	1679	X
FBgn0031049	Sec61gamma	Sec61gamma-RA	protein_coding	1192	798	X
FBgn0031050	Arp10	Arp11-RA,Arp11	protein_coding	1646	1536	X
FBgn0031051	Ranbp21	Ranbp21-RA	protein_coding	5964	5879	X
FBgn0031052	CG14215	CG14215-RA	protein_coding	7103	6649	X
FBgn0031053	CG14223	CG14223-RA	protein_coding	4530	3444	X
FBgn0031054	Ssu72	CG14216-RA,CG14216	protein_coding	2306	2186	X
FBgn0031055	et	CG14225-RA,CG14225	protein_coding	3580	2411	X
FBgn0031057	Ubqn	Ubqn-RA,CG14224	protein_coding	3851	3429	X
FBgn0031058	CG14227	CG14227-RB	protein_coding	1158	956	X
FBgn0031059	CG14229	CG14229-RA	protein_coding	1274	1210	X
FBgn0031060	CG14231	CG14231-RA	protein_coding	1936	1881	X
FBgn0031061	CG14232	CG14232-RA	protein_coding	2333	2011	X
FBgn0031062	CG14230	CG14230-RA	protein_coding	2242	2053	X
FBgn0031064	CG12531	CG12531-RA	protein_coding	11277	6764	X
FBgn0031065	CG14234	CG14234-RA	protein_coding	4887	3638	X
FBgn0031066	CoVIb	CG14235-RA,CG14235	protein_coding	3799	789	X
FBgn0031068	Alr	CG12534,Alr-RA	protein_coding	1854	1362	X
FBgn0031069	Pmp70	CG12703,CG12703-RA	protein_coding	8511	3659	X
FBgn0031070	CG12702	CG12702-RA	protein_coding	5702	3517	X
FBgn0031071	CG12701		protein_coding	6942	6685	X
FBgn0031074	SkpE	skpE-RA	protein_coding	713	713	X
FBgn0031077	CG15618	CG15618-RB	protein_coding	5782	5361	X
FBgn0031078	Nup205	CG11943,CG11943-RB	protein_coding	7166	6470	X
FBgn0031079	jog	jog-RA	protein_coding	18713	4915	X
FBgn0031080	CG12655	CG12655-RA	protein_coding	1011	611	X
FBgn0031081	Nep3	Nep3-RA	protein_coding	8027	4851	X
FBgn0031082	CG17003	CG17003-RA	protein_coding	1129	1129	X
FBgn0031085	CG9570	CG9570-RA	protein_coding	1226	1226	X
FBgn0031086	fd19B	CG9571-RA,CG9571	protein_coding	981	981	X
FBgn0031088	CG15322	CG15322-RB	protein_coding	5300	3140	X
FBgn0031089	CG9572	CG9572-RA	protein_coding	7391	1667	X
FBgn0031090	Rab35	Rab35-RA	protein_coding	4107	3538	X
FBgn0031091	Phf7	CG9576,CG9576-RA	protein_coding	5476	2505	X
FBgn0031092	CG9577	CG9577-RA	protein_coding	1408	1131	X
FBgn0031093	CG9581	CG9581-RA	protein_coding	1940	1883	X
FBgn0031094	CG9578	CG9578-RA	protein_coding	1305	1094	X
FBgn0031097	obst-A	obst-A-RA	protein_coding	3355	1905	X
FBgn0031098	CG17068	CG17068-RA	protein_coding	2785	2785	X
FBgn0031099	CG17065	CG17065-RB	protein_coding	2508	1666	X
FBgn0031100	CG1504	CG1504-RA	protein_coding	28358	4635	X
FBgn0031101	CG1631	CG1631-RA	protein_coding	1237	1178	X
FBgn0031103	CG12679	CG12679-RA	protein_coding	759	759	X
FBgn0031104	jb	CG15460,CG15460-RC	protein_coding	711	591	X
FBgn0031106	Syx16	Syx16-RA	protein_coding	1418	1282	X
FBgn0031107	HERC2	HERC2-RC	protein_coding	17853	15917	X
FBgn0031108	CG15459	CG15459-RA	protein_coding	1241	1072	X
FBgn0031109	Obp19a	Obp19a-RA	protein_coding	778	643	X
FBgn0031110	Obp19b	Obp19b-RA	protein_coding	1080	645	X
FBgn0031111	Obp19c	Obp19c-RA	protein_coding	1044	978	X
FBgn0031114	cactin	cactin-RA	protein_coding	2334	2334	X
FBgn0031115	CG11710	CG11710-RA	protein_coding	2263	1903	X
FBgn0031116	CG1695	CG1695-RB	protein_coding	11650	6238	X
FBgn0031117	GstT3	CG1702-RB,CG1702	protein_coding	2342	1369	X
FBgn0031118	RhoGAP19D	RhoGAP19D-RA	protein_coding	40740	9502	X
FBgn0031119	CG1812	CG1812-RB	protein_coding	4285	3229	X
FBgn0031121	CG15455		protein_coding	13003	921	X
FBgn0031122	CG15454		protein_coding	1243	1161	X
FBgn0031126	Cyp6v1	Cyp6v1-RA	protein_coding	4304	3026	X
FBgn0031127	CG1835	CG1835-RA	protein_coding	7753	735	X
FBgn0031128	hydra	hydra-RA	protein_coding	6232	2381	X
FBgn0031129	CG1324	CG1324-RA	protein_coding	1506	1443	X
FBgn0031130	CG15452	CG15452-RA	protein_coding	1001	741	X
FBgn0031132	CG15450	CG15450-RA	protein_coding	3496	1490	X
FBgn0031134	CG1314	CG1314-RA	protein_coding	1409	1409	X
FBgn0031135	CR11235	CG11235,CG11235-RA	pseudogene	192	192	X
FBgn0031138	CG11229	CG11229-RA	protein_coding	672	672	X
FBgn0031139	CG11227	CG11227-RC	protein_coding	2588	2531	X
FBgn0031140	NPC1b	NPC1b-RA	protein_coding	4429	3765	X
FBgn0031141	CG1304	CG1304-RA	protein_coding	893	893	X
FBgn0031142	r-cup	r-cup-RA	protein_coding	2499	2140	X
FBgn0031143	CG1532	CG1532-RA	protein_coding	2237	1236	X
FBgn0031144	CG1529	CG1529-RA	protein_coding	3299	3246	X
FBgn0031145	Ntf-2	Ntf-2-RA	protein_coding	5999	3723	X
FBgn0031146	CG15449	CG15449-RA	protein_coding	1092	765	X
FBgn0031148	Cbs	CG1753,CG1753-RB	protein_coding	3959	2202	X
FBgn0031149	CG1518	CG1518-RA	protein_coding	4053	2755	X
FBgn0031150	bves	bves-RB	protein_coding	28429	5794	X
FBgn0031155	CG15446	CG15446-RB	protein_coding	6527	1526	X
FBgn0031157	CG1503	CG1503-RA	protein_coding	1675	1405	X
FBgn0031159	CG11566	CG11566-RA	protein_coding	17574	3798	X
FBgn0031161	CG15445	CG15445-RA	protein_coding	3286	2380	X
FBgn0031163	CG14579	CG14579-RA	protein_coding	1269	1156	X
FBgn0031164	CG1724	CG1724-RA	protein_coding	843	843	X
FBgn0031168	CG1722	CG1722-RA	protein_coding	1173	1173	X
FBgn0031169	CG1494	CG1494-RA	protein_coding	7158	5469	X
FBgn0031170	CG1718	CG1718-RA	protein_coding	14358	7210	X
FBgn0031171	CG1801	CG1801-RC	protein_coding	9937	5303	X
FBgn0031174	CG1486	CG1486-RA	protein_coding	4105	3721	X
FBgn0031176	CG1678	CG1678-RA	protein_coding	434	434	X
FBgn0031178	CG10918	CG10918-RA	protein_coding	643	643	X
FBgn0031179	CG12564		protein_coding	527	447	X
FBgn0031180	CG12565		protein_coding	16972	1565	X
FBgn0031181	Ir20a	Ir20a-RA,CG14584	protein_coding	1692	1692	X
FBgn0031182	Cyp6t1	Cyp6t1-RA	protein_coding	1785	1785	X
FBgn0031183	CG14621	CG14621-RA	protein_coding	3582	2695	X
FBgn0031184	CG14615	CG14615-RA	protein_coding	2309	1914	X
FBgn0031186	CG14614	CG14614-RA	protein_coding	3873	3475	X
FBgn0031187	CG14619	CG14619-RC	protein_coding	14344	7728	X
FBgn0031188	CG14613	CG14613-RA	protein_coding	2041	1817	X
FBgn0031189	CG14618	CG14618-RA	protein_coding	1301	1210	X
FBgn0031190	CG12576	CG12576-RA	protein_coding	7507	2773	X
FBgn0031191	Cp110	CG14617,Cp110-RC	protein_coding	5377	3382	X
FBgn0031194	CG17598	CG17598-RA	protein_coding	5553	4272	X
FBgn0031195	CG17600	CG17600-RB	protein_coding	26828	2621	X
FBgn0031196	CG17599	CG17599-RA	protein_coding	1937	1756	X
FBgn0031197	CG17601	CG17601-RA	protein_coding	960	960	X
FBgn0031201	CG12446	CG12446-RA	protein_coding	2644	2644	X
FBgn0031208	CG11023	CG11023-RC	protein_coding	1956	1880	2L
FBgn0031209	Ir21a	Ir21a-RB,CG2657	protein_coding	3333	2629	2L
FBgn0031213	galectin	galectin-RB	protein_coding	4455	2751	2L
FBgn0031214	CG11374	CG11374-RB	protein_coding	1436	1378	2L
FBgn0031216	Zir	CG11376-RA,CG11376	protein_coding	7348	6476	2L
FBgn0031217	CG11377	CG11377-RA	protein_coding	1763	1583	2L
FBgn0031219	CG13694	CG13694-RA	protein_coding	1124	1124	2L
FBgn0031220	CG4822	CG4822-RB	protein_coding	4785	4224	2L
FBgn0031224	CG11454	CG11454-RA	protein_coding	905	905	2L
FBgn0031225	CG4648		protein_coding	4976	3003	2L
FBgn0031226	CG11620		protein_coding	2004	2004	2L
FBgn0031227	CG3709	CG3709-RA	protein_coding	1767	1699	2L
FBgn0031228	CG11455	CG11455-RB	protein_coding	41305	1135	2L
FBgn0031229	CG3436	CG3436-RA	protein_coding	1638	1381	2L
FBgn0031231	mRpL10	mRpL10-RA	protein_coding	1004	903	2L
FBgn0031232	CG11617	CG11617-RA	protein_coding	2555	1357	2L
FBgn0031233	Tbc1d15-17	CG11490-RA,CG11490	protein_coding	3547	3348	2L
FBgn0031235	CG13693	CG13693-RA	protein_coding	1722	1660	2L
FBgn0031238	CG3645	CG3645-RA	protein_coding	19156	1942	2L
FBgn0031239	CG17075	CG17075-RA	protein_coding	7557	7557	2L
FBgn0031240	CG3345	CG3345-RA	protein_coding	2539	2417	2L
FBgn0031242	CG11604		protein_coding	2196	2148	2L
FBgn0031244	CG11601	CG11601-RA	protein_coding	1600	1452	2L
FBgn0031245	CG3625	CG3625-RB	protein_coding	8411	1974	2L
FBgn0031247	CG11562	CG11562-RA	protein_coding	804	748	2L
FBgn0031248	CG11912	CG11912-RA	protein_coding	898	898	2L
FBgn0031249	CG11911	CG11911-RA	protein_coding	970	970	2L
FBgn0031250	Ent1	Ent1-RA	protein_coding	2310	1972	2L
FBgn0031251	CG4213	CG4213-RA	protein_coding	5604	4436	2L
FBgn0031252	CG13690	CG13690-RA	protein_coding	1219	1219	2L
FBgn0031253	CG11885	CG11885-RA	protein_coding	556	556	2L
FBgn0031254	CG13692	CG13692-RA	protein_coding	719	665	2L
FBgn0031255	BBS8	BBS8-RA	protein_coding	2449	2259	2L
FBgn0031256	CG4164	CG4164-RA	protein_coding	1547	1488	2L
FBgn0031257	CG4133	CG4133-RA	protein_coding	3215	2642	2L
FBgn0031258	CG4297	CG4297-RB	protein_coding	13325	6869	2L
FBgn0031260	Spp	Spp-RA	protein_coding	1868	1736	2L
FBgn0031261	nAChRbeta3	nAcRbeta-21C-RA,nAcRbeta-21C	protein_coding	1968	1532	2L
FBgn0031262	Oseg3		protein_coding	4826	4512	2L
FBgn0031263	CG2789	CG2789-RA	protein_coding	912	853	2L
FBgn0031264	CG11835	CG11835-RA	protein_coding	3252	3252	2L
FBgn0031265	CG2794	CG2794-RA	protein_coding	2310	2310	2L
FBgn0031266	CG2807	CG2807-RA	protein_coding	4568	4346	2L
FBgn0031267	Ipk2	Ipk2-RA	protein_coding	1232	1232	2L
FBgn0031268	cold	CG2813,CG2813-RA	protein_coding	1444	1158	2L
FBgn0031270	CG13689	CG13689-RA	protein_coding	1618	1551	2L
FBgn0031273	CG2839	CG2839-RA	protein_coding	2549	2549	2L
FBgn0031275	GABA-B-R3	GABA-B-R3-RC	protein_coding	12455	7035	2L
FBgn0031276	CG12506	CG12506-RA	protein_coding	471	471	2L
FBgn0031277	CG13947	CG13947-RA	protein_coding	483	483	2L
FBgn0031279	CG3544	CG3544-RA	protein_coding	4441	4359	2L
FBgn0031281	Saf6	CG3883,CG3883-RA	protein_coding	2637	2416	2L
FBgn0031282	Pex12	CG3639-RA,CG3639	protein_coding	2104	2104	2L
FBgn0031283	CG15880	CG15880-RA	protein_coding	957	896	2L
FBgn0031284	CG3876	CG3876-RA	protein_coding	1430	1370	2L
FBgn0031285	CG3662	CG3662-RA	protein_coding	3049	2982	2L
FBgn0031286	CG3862	CG3862-RA	protein_coding	1533	1533	2L
FBgn0031287	CG4291	CG4291-RA	protein_coding	1480	1310	2L
FBgn0031288	CG13949	CG13949-RA	protein_coding	1303	1183	2L
FBgn0031289	CG13950	CG13950-RA	protein_coding	1498	1073	2L
FBgn0031292	CG15824	CG15824-RA	protein_coding	7970	7072	2L
FBgn0031294	IA-2	ia2,ia2-RD	protein_coding	39676	10257	2L
FBgn0031295	CG4375	CG4375-RA	protein_coding	793	793	2L
FBgn0031296	CG4415	CG4415-RB	protein_coding	1440	1395	2L
FBgn0031298	Atg4a	Atg4-RA,Atg4	protein_coding	4470	4078	2L
FBgn0031299	CG4629	CG4629-RB	protein_coding	19414	3115	2L
FBgn0031300	CG4644	CG4644-RA	protein_coding	4887	4485	2L
FBgn0031301	CG14339	CG14339-RA	protein_coding	4155	3266	2L
FBgn0031302	CG14340	CG14340-RA	protein_coding	1198	1030	2L
FBgn0031304	CG4552	CG4552-RA	protein_coding	3096	2701	2L
FBgn0031305	Iris	Iris-RA	protein_coding	1767	1767	2L
FBgn0031306	CG4577	CG4577-RA	protein_coding	6464	2707	2L
FBgn0031307	MFS3	CG4726-RA,CG4726	protein_coding	4195	2029	2L
FBgn0031308	CG4749	CG4749-RA	protein_coding	1628	1628	2L
FBgn0031309	Tfb4	Tfb4-RA	protein_coding	1233	999	2L
FBgn0031310	Vps29	CG4764,CG4764-RA	protein_coding	999	999	2L
FBgn0031312	Tango14	Tango14-RA	protein_coding	1560	1272	2L
FBgn0031313	CG5080	CG5080-RA	protein_coding	3597	2617	2L
FBgn0031314	IntS14	CG4785-RA,CG4785	protein_coding	1983	1925	2L
FBgn0031315	CG14341	CG14341-RB	protein_coding	706	646	2L
FBgn0031317	CG5118	CG5118-RA	protein_coding	2053	1801	2L
FBgn0031318	CG4887	CG4887-RA	protein_coding	4581	3424	2L
FBgn0031319	CG4896	CG4896-RD	protein_coding	4765	3956	2L
FBgn0031320	CG5126	CG5126-RA	protein_coding	1724	1667	2L
FBgn0031321	Tgt	Tgt-RA	protein_coding	1634	1566	2L
FBgn0031322	CG5001	CG5001-RA	protein_coding	11051	2096	2L
FBgn0031323	CG5139	CG5139-RA	protein_coding	802	802	2L
FBgn0031324	CG14342	CG14342-RB	protein_coding	1036	802	2L
FBgn0031325	CG14343		protein_coding	677	612	2L
FBgn0031326	CG5156		protein_coding	1495	1257	2L
FBgn0031327	CG5397	CG5397-RA	protein_coding	2983	2903	2L
FBgn0031331	CG5440	CG5440-RA	protein_coding	1387	1328	2L
FBgn0031332	CG5556	CG5556-RA	protein_coding	1141	1085	2L
FBgn0031333	CG5561	CG5561-RA	protein_coding	1140	1091	2L
FBgn0031335	CG5565	CG5565-RA	protein_coding	1014	942	2L
FBgn0031337	CG14346	CG14346-RA	protein_coding	1055	953	2L
FBgn0031343	CG18131	CG18131-RE	protein_coding	2154	1828	2L
FBgn0031344	CG7420	CG7420-RA	protein_coding	2121	1575	2L
FBgn0031345	CG18132	CG18132-RA	protein_coding	684	684	2L
FBgn0031347	CG10869	CG10869-RB	protein_coding	2290	2227	2L
FBgn0031349	CG14351		protein_coding	52459	4398	2L
FBgn0031351	CG14352	CG14352-RA	protein_coding	1167	1030	2L
FBgn0031356	CG17660	CG17660-RA	protein_coding	3290	2357	2L
FBgn0031357	mRpL48	mRpL48-RA	protein_coding	1004	790	2L
FBgn0031359	Rim2	CG18317-RA,CG18317	protein_coding	8145	2417	2L
FBgn0031360	CG31937	CG31937-RA	protein_coding	1184	1184	2L
FBgn0031361	CG17652	CG17652-RA	protein_coding	1324	1198	2L
FBgn0031362	CG17646	CG17646-RA	protein_coding	18088	3549	2L
FBgn0031364	CG17648	CG17648-RA	protein_coding	541	541	2L
FBgn0031365	CG17650	CG17650-RA	protein_coding	808	534	2L
FBgn0031367	c-cup	c-cup-RA	protein_coding	939	882	2L
FBgn0031372	CG7295	CG7295-RA	protein_coding	1230	1230	2L
FBgn0031373	CG15358	CG15358-RA	protein_coding	1178	1178	2L
FBgn0031374	CG7337	CG7337-RB	protein_coding	59668	11222	2L
FBgn0031375	erm	CG31670,CG31670-RA	protein_coding	20124	3291	2L
FBgn0031376	Der-1	CG10908-RA,CG10908	protein_coding	1457	1243	2L
FBgn0031377	CG15356	CG15356-RA	protein_coding	5293	4294	2L
FBgn0031378	CG15362	CG15362-RA	protein_coding	924	813	2L
FBgn0031379	CG7289	CG7289-RA	protein_coding	2298	2130	2L
FBgn0031381	Npc2a	NPC2,Npc2a-RA	protein_coding	651	651	2L
FBgn0031384	CG4238	CG4238-RF	protein_coding	20930	4668	2L
FBgn0031388	CG12674	CG12674-RA	protein_coding	1368	1219	2L
FBgn0031389	CG4259	CG4259-RA	protein_coding	1929	1867	2L
FBgn0031390	tho2	tho2-RB	protein_coding	7838	5404	2L
FBgn0031391	CG11723	CG11723-RA	protein_coding	1979	1907	2L
FBgn0031392	AIF	CG7263,AIF-RA	protein_coding	3636	2993	2L
FBgn0031393	CG15382	CG15382-RA	protein_coding	1038	1038	2L
FBgn0031395	CG10874	CG10874-RB	protein_coding	2473	1586	2L
FBgn0031397	CG15385	CG15385-RA	protein_coding	2998	2635	2L
